                                                  GEOID  votes_dem  ...  index_right  District
1018                                           28049-11        300  ...            1         2
1019                                           28049-10        216  ...            1         2
1020                              28083-ITTA BENA NORTH        888  ...            1         2
1022                         28151-HOLLANDALE CITY HALL        824  ...            1         2
1023                                 28011-WINSTONVILLE        200  ...            1         2
1024                                      28049-EDWARDS       1154  ...            1         2
1025                                           28049-14        380  ...            1         2
1026                                           28049-13        770  ...            1         2
1028                                      28005-GLOSTER        461  ...            1         2
1029                                           28049-19        310  ...            1         2
1030                                           28049-18        316  ...            1         2
1031                      28063-COMMUNITY GARDEN CENTER        377  ...            1         2
1032                                           28049-16       1034  ...            1         2
1034                        28089-CANTON FIRE STATION 4        269  ...            1         2
1040                                      28079-WIGGINS        264  ...            1         2
1042                             28029-GEORGETOWN NORTH        161  ...            1         2
1050                28151-BUSTER BROWN COMMUNITY CENTER       1432  ...            1         2
1051                                      28019-CHESTER         64  ...            1         2
1052                                           28049-04        335  ...            1         2
1056                                    28001-5 OAKLAND        551  ...            1         2
1057                                           28049-02        150  ...            1         2
1059                                           28049-01        555  ...            1         2
1060                                           28049-08        388  ...            1         2
1061                                           28049-06        371  ...            1         2
1065                                       28149-CULKIN        694  ...            1         2
1070                                    28085-NEW SIGHT        301  ...            1         2
1072                                     28007-THOMPSON          7  ...            1         2
1074                               28011-CLEVELAND WEST        240  ...            1         2
1079                                  28015-GRAVEL HILL         44  ...            1         2
1082                                       28143-TUNICA        238  ...            1         2
1083             28043-BOX 1 SOUTHSIDE CHURCH OF CHRIST        569  ...            1         2
1087                                     28071-OXFORD 3       1306  ...            1         2
1090                                   28021-COUNTY 4-A        340  ...            1         2
1096                                   28021-COUNTY 4-D         30  ...            1         2
1097                                  28161-FIVE SCOBEY         58  ...            1         2
1099                                   28021-COUNTY 4-B        375  ...            1         2
1101                        28051-BEAT 3 EBENEZER (A-Z)        200  ...            1         2
1104               28089-HIGHLAND COLONY BAPTIST CHURCH       1260  ...            1         2
1109                                        28015-SALEM        157  ...            1         2
1110                     28053-BELZONI NORTH - 4BN 4010        648  ...            1         2
1114                    28053-MIDNIGHT SOUTH - 5MS 5020         55  ...            1         2
1116                             28029-STRONGHOPE UNION         30  ...            1         2
1120                                   28121-PEARL WEST        453  ...            1         2
1123                                 28063-UNION CHURCH        155  ...            1         2
1129                      28089-CAMDEN COMMUNITY CENTER        639  ...            1         2
1132                                         28007-ZAMA         84  ...            1         2
1134                                       28149-YOKENA        194  ...            1         2
1142                        28125-ANGUILLA 5TH DISTRICT        167  ...            1         2
1148                            28163-1-2 BENTONIA EAST        113  ...            1         2
1150                                     28015-MCCARLEY        158  ...            1         2
1154                          28089-CANTON BIBLE CHURCH        369  ...            1         2
1158                                   28037-PINE GROVE          9  ...            1         2
1160                                       28159-SHILOH         90  ...            1         2
1173                      28089-CANTON COMMUNITY CENTER       1232  ...            1         2
1177                                    28155-CADARETTA          8  ...            1         2
1178                         28157-CENTREVILLE 1ST 1020        389  ...            1         2
1182                                   28015-430 SCHOOL        173  ...            1         2
1183                         28149-AMERICAN LEGION POST        902  ...            1         2
1184                                    28161-ONE NORTH        393  ...            1         2
1187                                      28049-BYRAM 1       1765  ...            1         2
1191                                     28135-TUTWILER        439  ...            1         2
1192                       28149-PLUMBERS & PIPEFITTERS        459  ...            1         2
1193                                   28015-CARROLLTON         63  ...            1         2
1195                                      28049-BYRAM 3       1079  ...            1         2
1197                                      28049-BYRAM 2        952  ...            1         2
1200                                      28149-REDWOOD         33  ...            1         2
1206                               28161-FIVE TILLATOBA         34  ...            1         2
1208                      28089-LAKE CAROLINE CLUBHOUSE        482  ...            1         2
1212                           28043-BOX 5 EOC BUILDING        384  ...            1         2
1213                         28011-CLEVELAND NORTH WEST        145  ...            1         2
1215                                   28021-COUNTY 2-B        209  ...            1         2
1216                       28051-BEAT 5 LEXINGTON (A-Z)        217  ...            1         2
1217                                   28021-COUNTY 2-A        372  ...            1         2
1219                                28135-SUMNER BEAT 2         58  ...            1         2
1226                                28135-SUMNER BEAT 5         99  ...            1         2
1227                               28121-RICHLAND NORTH        312  ...            1         2
1231                 28053-SILVER CITY SOUTH - 3SS 3020        207  ...            1         2
1233                                   28097-KILMICHAEL        209  ...            1         2
1236                                    28005-SMITHDALE        131  ...            1         2
